model,cv_f1_mean,cv_f1_std,train_rows,test_rows,fit_time_sec,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,feature_set,target
extra_trees,0.585977878276975,0.0173278979859316,800,201,0.6177129745483398,0.6915422885572139,0.6707041343669251,0.5657894736842105,0.5972222222222222,0.581081081081081,0.7430555555555557,preprocessed_features,si_gt_8
svc_rbf,0.5895690406163039,0.03272179875981509,800,201,0.24219799041748047,0.6616915422885572,0.6535852713178294,0.5232558139534884,0.625,0.569620253164557,0.7080641688199829,preprocessed_features,si_gt_8
knn,0.5493909631743985,0.021781333524455927,800,201,0.046772003173828125,0.6766169154228856,0.6590762273901809,0.5443037974683544,0.5972222222222222,0.5695364238410596,0.7343884582256677,preprocessed_features,si_gt_8
random_forest,0.5680482863951227,0.028111667552157407,800,201,0.6921279430389404,0.7014925373134329,0.6569767441860466,0.6,0.5,0.5454545454545454,0.7501614987080104,preprocessed_features,si_gt_8
catboost,0.5549908962471091,0.02325958009000419,800,201,4.154595851898193,0.7014925373134329,0.6539082687338501,0.603448275862069,0.4861111111111111,0.5384615384615384,0.7319659776055126,preprocessed_features,si_gt_8
logistic_regression,0.5540694420208132,0.02639212958746368,800,201,0.05541205406188965,0.6318407960199005,0.6241925064599483,0.48863636363636365,0.5972222222222222,0.5375,0.6782407407407407,preprocessed_features,si_gt_8
hist_gradient_boosting,0.5629797155900318,0.039620884158527735,800,201,2.264819860458374,0.681592039800995,0.6384043927648578,0.5645161290322581,0.4861111111111111,0.5223880597014925,0.7088178294573644,preprocessed_features,si_gt_8
dummy_most_frequent,0.0,0.0,800,201,0.017007827758789062,0.6417910447761194,0.5,0.0,0.0,0.0,0.5,preprocessed_features,si_gt_8
