model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape,feature_set,target_transform
extra_trees,433.27775343515196,47.9233453263603,800,201,1.4839410781860352,272.0542803785286,443.90584925616656,0.6199202643049647,294.07399238727004,preprocessed_features,original
catboost,431.89318392566156,50.34637764245566,800,201,4.39184308052063,275.12900774903943,445.41492622190185,0.6173316770519612,330.1285891873448,preprocessed_features,original
random_forest,442.41029824704947,34.50792529683823,800,201,3.2683300971984863,283.78966477293454,450.1399178589349,0.6091698721069295,341.6512973948106,preprocessed_features,original
hist_gradient_boosting,472.88897909549416,50.03701273874,800,201,1.8066432476043701,282.7178909996078,457.85511947078356,0.5956577446131628,309.79983378804155,preprocessed_features,original
knn,479.1944021725103,41.177544509126975,800,201,0.043060302734375,301.3524789705671,506.46808513646835,0.5052370760764562,299.2998001673453,preprocessed_features,original
ridge,480.5759074647707,43.59136595541257,800,201,0.03284406661987305,376.7356026311443,537.1586638319102,0.4434577367770045,531.2439002322727,preprocessed_features,original
linear_regression,493.40199915004115,43.733708941263984,800,201,0.033837080001831055,386.7667978653086,556.043647789477,0.4036369220240732,546.7110987615499,preprocessed_features,original
dummy_mean,618.9818276242098,53.35410585785003,800,201,0.01464390754699707,511.72933374104,723.0542079024242,-0.008404316091487285,975.8444385128286,preprocessed_features,original
svr_rbf,621.4601979473294,63.8137733216819,800,201,0.0863490104675293,471.6741999584267,731.7046462967601,-0.0326772406889595,603.5893862596582,preprocessed_features,original
