model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape
extra_trees,286.9700953065704,14.921784768175131,800,201,2.211091995239258,226.13326316369412,432.0154226644559,0.4404672009926788,869.1895526053546
catboost,283.2048437102465,18.460610365598736,800,201,7.717854022979736,227.03504741393604,438.2397571457468,0.42422792785239105,2087.9218743233423
hist_gradient_boosting,296.5758707771981,10.46248628788879,800,201,2.7818219661712646,224.0759571405028,440.08906100924594,0.41935833718573157,1124.8279713214495
random_forest,285.17734864690175,16.707198820995192,800,201,6.1834330558776855,233.9278072189598,440.44840080961285,0.41840974354967353,1295.5563199234568
knn,284.4825797888125,17.78847874020141,800,201,0.04824995994567871,227.8030250909299,463.4834742463616,0.35598563497470714,1492.874876849549
ridge,457.8098197278303,299.8733203137641,800,201,0.13432598114013672,263.31727604486616,465.4192282551484,0.3505949067062081,4700.3804506825745
linear_regression,119490.00004965524,238134.0923318894,800,201,1.507314920425415,287.95424644898554,506.30746745297574,0.23147904695866572,5215.584614027029
dummy_mean,341.3129060028898,15.778610866720287,800,201,1.8433082103729248,315.18529459295723,584.9037125364263,-0.02564201444787817,18642.41484251604
svr_rbf,361.3918892722758,18.04293794821179,800,201,0.10970687866210938,266.2477461260143,612.9223913633149,-0.12625834470709152,1512.6328344692974
