model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape
catboost_log_target,290.9944540727298,15.863062589894248,800,201,6.475545883178711,218.06885831117413,447.2235628184317,0.40037959790251565,350.1499323260871
extra_trees_log_target,293.35546897156695,18.020567201280787,800,201,2.042762041091919,215.4486786301741,454.56961751408744,0.3805191905765315,341.7562438754059
hist_gradient_boosting_log_target,304.3698334179186,16.968219519231862,800,201,2.4950029850006104,213.58329200571293,457.53718963849013,0.37240446145943584,330.63740294703723
random_forest_log_target,299.62346486760987,17.4149507640949,800,201,4.231558084487915,221.60191253427672,480.914989313702,0.3066321920628644,334.67440098191037
svr_rbf_log_target,339.9072113654011,68.95475879486979,800,201,0.12842607498168945,225.88543926048115,494.8329260780502,0.26591858899969323,386.83603905666314
ridge_log_target,349282461261.1344,698562229805.5881,800,201,0.03663492202758789,235.7723184871658,505.57493254121664,0.23370125859159885,809.1439618451031
knn_log_target,306.49890802959567,18.68937243649686,800,201,0.0359349250793457,226.51738046115193,523.7539293277441,0.1776027764990854,538.7293140373447
dummy_mean_log_target,374.1154190122386,19.462508877593404,800,201,0.026133060455322266,278.7638647497148,627.8612183049491,-0.1818282416386099,4593.78494143907
linear_regression_log_target,,,800,201,0.16126394271850586,574.9536700739136,3407.3378149204036,-33.806265876080744,5144.066464069831
