model,cv_f1_mean,cv_f1_std,train_rows,test_rows,fit_time_sec,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,feature_set,target
svc_rbf,0.7567982480940131,0.012408372421622384,800,201,1.679872989654541,0.7512437810945274,0.7516336633663366,0.7155172413793104,0.83,0.7685185185185185,0.8205940594059405,preprocessed_features,cc50_above_median
hist_gradient_boosting,0.743576682691633,0.015916711246223722,800,201,1.884200096130371,0.7512437810945274,0.7515346534653465,0.7232142857142857,0.81,0.7641509433962265,0.8521782178217822,preprocessed_features,cc50_above_median
catboost,0.7495089958341948,0.011713851706520154,800,201,4.097684383392334,0.7412935323383084,0.7415841584158416,0.7142857142857143,0.8,0.7547169811320755,0.8425742574257427,preprocessed_features,cc50_above_median
knn,0.7543332777233581,0.02564408833227621,800,201,0.1484510898590088,0.7263681592039801,0.7266831683168318,0.6991150442477876,0.79,0.7417840375586855,0.8105445544554455,preprocessed_features,cc50_above_median
extra_trees,0.751236912406078,0.0147801630276117,800,201,0.5420830249786377,0.7213930348258707,0.7216831683168317,0.6964285714285714,0.78,0.7358490566037735,0.8422772277227722,preprocessed_features,cc50_above_median
logistic_regression,0.7523029616400857,0.022810716362353153,800,201,1.6070199012756348,0.7014925373134329,0.7017821782178217,0.6785714285714286,0.76,0.7169811320754716,0.8227722772277227,preprocessed_features,cc50_above_median
random_forest,0.7566838160984586,0.011692787233584937,800,201,0.7380549907684326,0.6915422885572139,0.691930693069307,0.6637931034482759,0.77,0.7129629629629629,0.8368316831683168,preprocessed_features,cc50_above_median
dummy_most_frequent,0.0,0.0,800,201,2.0362441539764404,0.5024875621890548,0.5,0.0,0.0,0.0,0.5,preprocessed_features,cc50_above_median
