model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape,feature_set,target_transform
extra_trees_log_target,472.63537762812473,82.21188739092855,800,201,1.789167881011963,274.1403962614759,490.9853343739553,0.5350245535056085,122.5717176425265,preprocessed_features,log1p
hist_gradient_boosting_log_target,492.8823146852475,76.63143638395891,800,201,2.34631085395813,284.05996826040945,499.53152851925057,0.5186967559095059,135.5388477191858,preprocessed_features,log1p
catboost_log_target,470.49046035461606,82.85259143376521,800,201,5.764703035354614,291.03414030153675,499.89687334182963,0.5179924722302574,137.12311592074246,preprocessed_features,log1p
svr_rbf_log_target,490.9685327937309,67.36924330613121,800,201,0.09237098693847656,300.97628403110116,502.4573995229679,0.513042036268377,159.28640961310379,preprocessed_features,log1p
random_forest_log_target,487.4345536864763,75.99354094822952,800,201,3.367705821990967,298.0574644471291,520.0796035758199,0.4782858401747191,124.06845706887883,preprocessed_features,log1p
knn_log_target,488.34163750287007,68.52275447927542,800,201,0.03241872787475586,314.5944111531946,560.3714755172517,0.3943175069285103,163.06131634135474,preprocessed_features,log1p
ridge_log_target,601.0154554137595,60.47913036944613,800,201,0.03478288650512695,396.0777644615811,651.5889776408213,0.18108196003790278,187.13422896316774,preprocessed_features,log1p
dummy_mean_log_target,697.2306958035418,60.424093568918295,800,201,0.015074014663696289,522.2283652007766,818.1593842463411,-0.291126551281387,433.2849495519601,preprocessed_features,log1p
linear_regression_log_target,658.7864779037093,102.15160769348539,800,201,0.03785419464111328,547.6962962251818,2305.7674732008227,-9.254724491924387,352.7115352423609,preprocessed_features,log1p
