model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape
extra_trees,285.9439176748291,14.199296012195456,800,201,1.6808769702911377,220.4124835960976,425.43676939044263,0.4573783828442699,953.6946961083627
catboost,284.7420007954971,19.11599237455924,800,201,4.6069512367248535,217.69212631303432,427.69528391980197,0.45160186399038404,1621.8001884324533
hist_gradient_boosting,292.71899271839226,19.299386692494146,800,201,1.9601881504058838,227.90246387478226,438.52163111415234,0.42348702130519666,1453.704348581687
random_forest,282.0662482927731,14.832254637136867,800,201,4.189961194992065,235.01042454882355,439.3852092771661,0.42121413803499463,1360.0542396365177
knn,290.51431638902744,15.998178810598215,800,201,0.04668998718261719,229.24614103248564,470.73922329485237,0.33566394997604565,1508.2411297017716
ridge,300.82754723280743,22.972685033648602,800,201,0.029736995697021484,268.955229473079,481.903884808822,0.3037777446876755,5827.354363372075
linear_regression,305.8593533228123,20.027984113984434,800,201,0.04553818702697754,278.4914125895217,487.96876788557364,0.28614320233198975,5580.647915227908
dummy_mean,341.3129060028898,15.778610866720287,800,201,0.014904022216796875,315.18529459295723,584.9037125364263,-0.02564201444787817,18642.41484251604
svr_rbf,361.0391814931414,18.112738169464308,800,201,0.07876420021057129,265.8810493032221,613.5951958317459,-0.12873228773586343,1308.5836855225032
