model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape
extra_trees_log_target,295.4540858702336,15.260077279816405,800,201,1.5234980583190918,213.95396639193058,457.2513179804851,0.3731884664868165,344.8782373421694
hist_gradient_boosting_log_target,294.2118428598631,15.815201327762288,800,201,1.8981342315673828,216.07401081121947,458.5380723626088,0.36965567251347287,352.734415438878
catboost_log_target,291.2958518230048,17.16315686959104,800,201,4.3676979541778564,221.26755104015032,468.7405016727353,0.34129341039258065,351.8885239520473
ridge_log_target,374.1291944934471,40.146728814897365,800,201,0.03286099433898926,237.74470978200094,469.9223581886757,0.3379675697554487,992.6279592478908
random_forest_log_target,300.11231238610554,16.63033529151488,800,201,2.994565963745117,223.33574079075518,482.0048623569959,0.3034859430063659,342.0041478795168
svr_rbf_log_target,330.6036532993436,51.53209333187378,800,201,0.10966801643371582,225.29068495385636,500.33789492963746,0.2494945659131359,383.21269132970895
knn_log_target,313.2882332735672,16.07314111864645,800,201,0.0341792106628418,225.03976042980128,529.4104794039511,0.15974304780926607,539.8322724079657
linear_regression_log_target,395.84525356132156,75.42344798685177,800,201,0.03704500198364258,260.7882899606437,585.3185445008764,-0.027097364997145323,1250.1258374520505
dummy_mean_log_target,374.1154190122386,19.462508877593404,800,201,0.015505075454711914,278.7638647497148,627.8612183049491,-0.1818282416386099,4593.78494143907
