model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape,feature_set,target_transform
random_forest,265.8831731294491,112.43078002735943,800,201,5.867010116577148,191.277281302158,1353.767099331262,0.08761694210584314,11380.89268956625,preprocessed_features,original
hist_gradient_boosting,272.028416566829,111.73822398061874,800,201,3.8134021759033203,191.7049315462497,1354.6537530854894,0.08642141477781318,10807.200817677114,preprocessed_features,original
extra_trees,273.6705863365411,111.71350370324997,800,201,1.9955341815948486,186.60364565001282,1354.6699609162097,0.08639955352270534,10518.730737558044,preprocessed_features,original
catboost,272.64714250621864,111.25119523409339,800,201,4.859584093093872,189.00484236019946,1355.6034556037562,0.08514000687042156,10562.393973619197,preprocessed_features,original
knn,258.5974643837976,122.68564617389703,800,201,0.04300999641418457,195.79530773013084,1356.4300654010258,0.08402395365418258,11224.021978950932,preprocessed_features,original
linear_regression,268.8830012147431,108.43057322035159,800,201,0.03723430633544922,228.7069236518879,1367.5379930554382,0.06896050695614497,12527.475976463651,preprocessed_features,original
ridge,263.6636926345519,109.87505209291407,800,201,0.033589839935302734,222.8642286206314,1368.4280115025979,0.06774823793582563,12264.961889428501,preprocessed_features,original
dummy_mean,228.33841761343038,159.24037813623931,800,201,0.014766931533813477,204.7180290661784,1423.9369082433768,-0.009417421311920693,2598.9223713781344,preprocessed_features,original
svr_rbf,223.61107454337812,165.8423437262256,800,201,0.10440421104431152,179.61223744996497,1425.6715122198761,-0.011878212851115455,584.2778427136185,preprocessed_features,original
