model,cv_f1_mean,cv_f1_std,train_rows,test_rows,fit_time_sec,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,feature_set,target
catboost,0.7326804537723209,0.012471924159600137,800,201,4.076364994049072,0.7263681592039801,0.7266831683168318,0.6991150442477876,0.79,0.7417840375586855,0.7668811881188119,preprocessed_features,ic50_above_median
hist_gradient_boosting,0.719594387567921,0.00858065509988767,800,201,1.8173871040344238,0.7114427860696517,0.7117326732673268,0.6875,0.77,0.7264150943396226,0.7568811881188118,preprocessed_features,ic50_above_median
knn,0.7026111309347413,0.026201050907537594,800,201,0.1564488410949707,0.7164179104477612,0.7164851485148515,0.7087378640776699,0.73,0.7192118226600985,0.766039603960396,preprocessed_features,ic50_above_median
random_forest,0.7349098086068359,0.008539307023189101,800,201,0.7422962188720703,0.6915422885572139,0.6920297029702971,0.6583333333333333,0.79,0.7181818181818181,0.775,preprocessed_features,ic50_above_median
svc_rbf,0.7289922921915225,0.023946966987926435,800,201,0.2570040225982666,0.7014925373134329,0.7017326732673268,0.6818181818181818,0.75,0.7142857142857143,0.7399504950495049,preprocessed_features,ic50_above_median
extra_trees,0.7355516261806319,0.0167166828183872,800,201,0.5415239334106445,0.6865671641791045,0.687029702970297,0.6554621848739496,0.78,0.7123287671232876,0.7656930693069307,preprocessed_features,ic50_above_median
logistic_regression,0.6761420532186209,0.027891277823074496,800,201,1.5791568756103516,0.6865671641791045,0.6868811881188119,0.6637168141592921,0.75,0.704225352112676,0.745990099009901,preprocessed_features,ic50_above_median
dummy_most_frequent,0.0,0.0,800,201,1.9590158462524414,0.5024875621890548,0.5,0.0,0.0,0.0,0.5,preprocessed_features,ic50_above_median
