model,cv_f1_mean,cv_f1_std,train_rows,test_rows,fit_time_sec,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,feature_set,target
knn,0.6596788424699713,0.01791355775369419,800,201,0.03806281089782715,0.6766169154228856,0.676980198019802,0.6521739130434783,0.75,0.6976744186046512,0.7225247524752475,preprocessed_features,si_above_median
hist_gradient_boosting,0.6550089648489195,0.023441002619615396,800,201,1.8384709358215332,0.6467661691542289,0.6467326732673268,0.6464646464646465,0.64,0.6432160804020101,0.6617326732673268,preprocessed_features,si_above_median
catboost,0.651686186254611,0.03245566536587299,800,201,4.077442169189453,0.6517412935323383,0.6515841584158416,0.6595744680851063,0.62,0.6391752577319587,0.6857920792079207,preprocessed_features,si_above_median
svc_rbf,0.6508394779491178,0.028286359598161864,800,201,0.2516617774963379,0.6119402985074627,0.612029702970297,0.6057692307692307,0.63,0.6176470588235294,0.6497029702970296,preprocessed_features,si_above_median
random_forest,0.6476179192331833,0.02463039608381566,800,201,0.6577749252319336,0.6417910447761194,0.6414356435643565,0.6627906976744186,0.57,0.6129032258064516,0.6882673267326733,preprocessed_features,si_above_median
extra_trees,0.6630630910048863,0.03247282755941344,800,201,0.4849979877471924,0.6268656716417911,0.6266831683168317,0.6344086021505376,0.59,0.6113989637305699,0.6814356435643564,preprocessed_features,si_above_median
logistic_regression,0.6558757371374069,0.03693889675365345,800,201,0.054956912994384766,0.6019900497512438,0.601980198019802,0.6,0.6,0.6,0.6381683168316832,preprocessed_features,si_above_median
dummy_most_frequent,0.0,0.0,800,201,0.027127981185913086,0.5024875621890548,0.5,0.0,0.0,0.0,0.5,preprocessed_features,si_above_median
